"Provplats ID (VISS)","Provplats ID (Stationsregistret)","Mätvariabel","Trend","p-värde","Period"
"SE758793-162214",,"Brunhet","neutral",0.4381,"Hela perioden"
"SE758793-162214",,"Alkalinitet","ökande",0,"Hela perioden"
"SE758793-162214",,"Konduktivitet","ökande",0,"Hela perioden"
"SE758793-162214",,"Oorganiskt kväve","minskande",2e-4,"Hela perioden"
"SE758793-162214",,"Lättillgänglig fosfor","minskande",0,"Hela perioden"
"SE758793-162214",,"Sulfat","ökande",0,"Hela perioden"
"SE758793-162214",,"Kisel","ökande",0.0114,"Hela perioden"
"SE758793-162214",,"Totalt organiskt kol","neutral",0.5344,"Hela perioden"
"SE758793-162214",,"Totalkväve","minskande",0,"Hela perioden"
"SE758793-162214",,"Totalfosfor","minskande",0,"Hela perioden"
"SE758793-162214",,"pH","neutral",0.1007,"Hela perioden"
"SE758793-162214",,"Temperatur - vår","neutral",0.0868,"Hela perioden"
"SE753460-165285",,"Brunhet","neutral",0.7421,"Hela perioden"
"SE753460-165285",,"Alkalinitet","ökande",0.0461,"Hela perioden"
"SE753460-165285",,"Konduktivitet","neutral",0.244,"Hela perioden"
"SE753460-165285",,"Oorganiskt kväve","minskande",1e-4,"Hela perioden"
"SE753460-165285",,"Lättillgänglig fosfor","minskande",0.0462,"Hela perioden"
"SE753460-165285",,"Sulfat","minskande",0.048,"Hela perioden"
"SE753460-165285",,"Kisel","ökande",0.0211,"Hela perioden"
"SE753460-165285",,"Totalt organiskt kol","minskande",0.0376,"Hela perioden"
"SE753460-165285",,"Totalkväve","minskande",0,"Hela perioden"
"SE753460-165285",,"Totalfosfor","minskande",1e-4,"Hela perioden"
"SE753460-165285",,"pH","ökande",0.0136,"Hela perioden"
"SE753460-165285",,"Temperatur - vår","neutral",0.8064,"Hela perioden"
"SE739283-163835",,"Brunhet","minskande",0.0016,"Hela perioden"
"SE739283-163835",,"Alkalinitet","neutral",0.1311,"Hela perioden"
"SE739283-163835",,"Konduktivitet","neutral",0.0581,"Hela perioden"
"SE739283-163835",,"Oorganiskt kväve","neutral",0.8043,"Hela perioden"
"SE739283-163835",,"Lättillgänglig fosfor","minskande",0.0082,"Hela perioden"
"SE739283-163835",,"Sulfat","neutral",0.6166,"Hela perioden"
"SE739283-163835",,"Kisel","minskande",0.025,"Hela perioden"
"SE739283-163835",,"Totalt organiskt kol","neutral",0.9335,"Hela perioden"
"SE739283-163835",,"Totalkväve","minskande",0.0026,"Hela perioden"
"SE739283-163835",,"Totalfosfor","minskande",0.0366,"Hela perioden"
"SE739283-163835",,"pH","neutral",0.0788,"Hela perioden"
"SE739283-163835",,"Temperatur - vår","ökande",0.0369,"Hela perioden"
"SE632033-152167",,"Brunhet","ökande",0.0295,"Hela perioden"
"SE632033-152167",,"Alkalinitet","neutral",0.0565,"Hela perioden"
"SE632033-152167",,"Konduktivitet","minskande",0.0017,"Hela perioden"
"SE632033-152167",,"Oorganiskt kväve","minskande",0.0032,"Hela perioden"
"SE632033-152167",,"Lättillgänglig fosfor","neutral",0.1463,"Hela perioden"
"SE632033-152167",,"Sulfat","minskande",0,"Hela perioden"
"SE632033-152167",,"Kisel","ökande",0.0493,"Hela perioden"
"SE632033-152167",,"Totalt organiskt kol","ökande",0,"Hela perioden"
"SE632033-152167",,"Totalkväve","neutral",0.121,"Hela perioden"
"SE632033-152167",,"Totalfosfor","minskande",0.0275,"Hela perioden"
"SE632033-152167",,"pH","ökande",0.0276,"Hela perioden"
"SE632033-152167",,"Temperatur - vår","neutral",1,"Hela perioden"
"SE726942-176351",,"Brunhet","ökande",0,"Hela perioden"
"SE726942-176351",,"Alkalinitet","neutral",0.8393,"Hela perioden"
"SE726942-176351",,"Konduktivitet","minskande",0,"Hela perioden"
"SE726942-176351",,"Oorganiskt kväve","minskande",0,"Hela perioden"
"SE726942-176351",,"Lättillgänglig fosfor","ökande",0.0022,"Hela perioden"
"SE726942-176351",,"Sulfat","minskande",0,"Hela perioden"
"SE726942-176351",,"Kisel","ökande",0.0271,"Hela perioden"
"SE726942-176351",,"Totalt organiskt kol","ökande",2e-4,"Hela perioden"
"SE726942-176351",,"Totalkväve","minskande",0.0028,"Hela perioden"
"SE726942-176351",,"Totalfosfor","minskande",9e-4,"Hela perioden"
"SE726942-176351",,"pH","neutral",0.0915,"Hela perioden"
"SE726942-176351",,"Temperatur - vår","neutral",0.3052,"Hela perioden"
"SE703411-148805",,"Brunhet","ökande",4e-4,"Hela perioden"
"SE703411-148805",,"Alkalinitet","ökande",4e-4,"Hela perioden"
"SE703411-148805",,"Konduktivitet","neutral",0.3561,"Hela perioden"
"SE703411-148805",,"Oorganiskt kväve","minskande",0,"Hela perioden"
"SE703411-148805",,"Lättillgänglig fosfor","minskande",3e-4,"Hela perioden"
"SE703411-148805",,"Sulfat","minskande",0,"Hela perioden"
"SE703411-148805",,"Kisel","ökande",0.0036,"Hela perioden"
"SE703411-148805",,"Totalt organiskt kol","ökande",0.0273,"Hela perioden"
"SE703411-148805",,"Totalkväve","minskande",6e-4,"Hela perioden"
"SE703411-148805",,"Totalfosfor","minskande",0,"Hela perioden"
"SE703411-148805",,"pH","ökande",9e-4,"Hela perioden"
"SE728070-165120",,"Brunhet","neutral",0.3204,"Hela perioden"
"SE728070-165120",,"Alkalinitet","neutral",0.6637,"Hela perioden"
"SE728070-165120",,"Konduktivitet","neutral",0.4105,"Hela perioden"
"SE728070-165120",,"Oorganiskt kväve","minskande",0,"Hela perioden"
"SE728070-165120",,"Lättillgänglig fosfor","minskande",0.0025,"Hela perioden"
"SE728070-165120",,"Sulfat","minskande",2e-4,"Hela perioden"
"SE728070-165120",,"Kisel","ökande",0.0127,"Hela perioden"
"SE728070-165120",,"Totalt organiskt kol","neutral",0.3106,"Hela perioden"
"SE728070-165120",,"Totalkväve","minskande",0,"Hela perioden"
"SE728070-165120",,"Totalfosfor","minskande",0,"Hela perioden"
"SE728070-165120",,"pH","neutral",0.1228,"Hela perioden"
"SE728070-165120",,"Temperatur - vår","neutral",0.1819,"Hela perioden"
"SE718265-171875",,"Brunhet","ökande",0.0335,"Hela perioden"
"SE718265-171875",,"Alkalinitet","neutral",0.8785,"Hela perioden"
"SE718265-171875",,"Konduktivitet","neutral",0.1755,"Hela perioden"
"SE718265-171875",,"Oorganiskt kväve","minskande",0.0045,"Hela perioden"
"SE718265-171875",,"Lättillgänglig fosfor","minskande",0.0264,"Hela perioden"
"SE718265-171875",,"Sulfat","minskande",0.0013,"Hela perioden"
"SE718265-171875",,"Kisel","ökande",0.0305,"Hela perioden"
"SE718265-171875",,"Totalt organiskt kol","ökande",0.004,"Hela perioden"
"SE718265-171875",,"Totalkväve","neutral",0.3033,"Hela perioden"
"SE718265-171875",,"Totalfosfor","neutral",0.986,"Hela perioden"
"SE718265-171875",,"pH","neutral",0.9961,"Hela perioden"
"SE718265-171875",,"Temperatur - vår","ökande",0.0122,"Hela perioden"
"SE666881-151821",,"Brunhet","neutral",0.1099,"Hela perioden"
"SE666881-151821",,"Alkalinitet","neutral",0.398,"Hela perioden"
"SE666881-151821",,"Konduktivitet","neutral",0.4095,"Hela perioden"
"SE666881-151821",,"Oorganiskt kväve","neutral",0.0682,"Hela perioden"
"SE666881-151821",,"Lättillgänglig fosfor","minskande",0.0116,"Hela perioden"
