"Provplats ID (VISS)","Provplats ID (Stationsregistret)","Vattenförekomst ID (MS_CD)","Programområde","Delprogram"
"SE758793-162214",,"WA37110481","Sötvatten","Vattendrag trendstationer"
"SE753460-165285",,"WA34033118","Sötvatten","Vattendrag trendstationer"
"SE739283-163835",,"WA60052782","Sötvatten","Vattendrag trendstationer"
"SE632033-152167",,"WA81275650","Sötvatten","Flodmynningar"
"SE726942-176351",,"WA17957286","Sötvatten","Flodmynningar"
"SE703411-148805",,"WA56088945","Sötvatten","Vattendrag trendstationer"
"SE728070-165120",,"WA66448021","Sötvatten","Vattendrag trendstationer"
"SE718265-171875",,"WA95930698","Sötvatten","Vattendrag trendstationer"
"SE666881-151821",,"WA11915510","Sötvatten","Vattendrag trendstationer"
"SE626878-134788",,"WA83666955","Sötvatten","Vattendrag trendstationer"
"SE673809-153401",,"WA90144389","Sötvatten","Vattendrag trendstationer"
"SE639339-154122",,"WA62188433","Sötvatten","Flodmynningar"
"SE650799-143323",,"WA11935716","Sötvatten","Vattendrag trendstationer"
"SE641475-147365",,"WA86777326","Sötvatten","Vattendrag trendstationer"
"SE647582-127369",,"WA83397198","Sötvatten","Flodmynningar"
"SE671742-158974",,"WA68838669","Sötvatten","Flodmynningar"
"SE632137-147160",,"WA45416248","Sötvatten","Vattendrag trendstationer"
"SE683661-156793",,"WA89618757","Sötvatten","Flodmynningar"
"SE641827-139990",,"WA79424619","Sötvatten","Vattendrag trendstationer"
"SE633520-153920",,"WA19847939","Sötvatten","Flodmynningar"
"SE653621-125394",,"WA99571073","Sötvatten","Flodmynningar"
"SE720990-147270",,"WA37926239","Sötvatten","Vattendrag trendstationer"
"SE669500-163246",,"WA92637595","Sötvatten","Flodmynningar"
"SE631625-133602",,"WA61549092","Sötvatten","Vattendrag trendstationer"
"SE672924-157224",,"WA13726432","Sötvatten","Flodmynningar"
"SE703055-166572",,"WA82283677","Sötvatten","Flodmynningar"
"SE638491-166721",,"WA95602537","Sötvatten","Flodmynningar"
"SE646771-129330",,"WA16165459","Sötvatten","Flodmynningar"
"SE641071-127372",,"WA33908756","Sötvatten","Flodmynningar"
"SE640085-138148",,"WA12737498","Sötvatten","Vattendrag trendstationer"
"SE620277-140091",,"WA15465984","Sötvatten","Flodmynningar"
"SE642969-145547",,"WA88641020","Sötvatten","Vattendrag trendstationer"
"SE710354-155465",,"WA24742612","Sötvatten","Vattendrag trendstationer"
"SE708380-145455",,"WA75124922","Sötvatten","Vattendrag trendstationer"
"SE693587-158205",,"WA76246554","Sötvatten","Flodmynningar"
"SE732407-183604",,"WA22703508","Sötvatten","Flodmynningar"
"SE749870-169055",,"WA30011092","Sötvatten","Vattendrag trendstationer"
"SE753778-181417",,"WA72266995","Sötvatten","Vattendrag trendstationer"
"SE666294-137309",,"WA89864864","Sötvatten","Vattendrag trendstationer"
"SE617263-135608",,"WA14011444","Sötvatten","Vattendrag trendstationer"
"SE641953-137406",,"WA39944872","Sötvatten","Vattendrag trendstationer"
"SE735526-183905",,"WA97950526","Sötvatten","Vattendrag trendstationer"
"SE703626-153615",,"WA38909960","Sötvatten","Vattendrag trendstationer"
"SE708485-154920",,"WA98025719","Sötvatten","Vattendrag trendstationer"
"SE618678-132881",,"WA93784411","Sötvatten","Flodmynningar"
"SE626875-133051",,"WA18208119","Sötvatten","Flodmynningar"
"SE730224-165025",,"WA60567507","Sötvatten","Vattendrag trendstationer"
"SE699780-139553",,"WA55565146","Sötvatten","Vattendrag trendstationer"
"SE675032-135400",,"WA43483826","Sötvatten","Vattendrag trendstationer"
"SE707822-133430",,"WA99507792","Sötvatten","Vattendrag trendstationer"
"SE639719-133565",,"WA35495796","Sötvatten","Vattendrag trendstationer"
"SE691743-155984",,"WA99459812","Sötvatten","Flodmynningar"
"SE627831-152255",,"WA98903891","Sötvatten","Flodmynningar"
"SE694231-133350",,"WA99367298","Sötvatten","Vattendrag trendstationer"
"SE678924-156862",,"WA76780102","Sötvatten","Flodmynningar"
"SE650920-143244",,,"Sötvatten","Vattendrag trendstationer"
"SE660713-165636",,"WA79044816","Sötvatten","Vattendrag trendstationer"
"SE729186-178575",,"WA33065308","Sötvatten","Flodmynningar"
"SE623006-149119",,"WA79289586","Sötvatten","Flodmynningar"
"SE705438-167938",,"WA38012409","Sötvatten","Flodmynningar"
"SE664335-136275",,"WA77117417","Sötvatten","Vattendrag trendstationer"
"SE723232-161455",,"WA23593659","Sötvatten","Vattendrag trendstationer"
"SE718001-147980",,"WA78387734","Sötvatten","Vattendrag trendstationer"
"SE649673-151838",,"WA88923173","Sötvatten","Flodmynningar"
"SE741419-169012",,"WA60139716","Sötvatten","Vattendrag trendstationer"
"SE622950-143450",,"WA68541265","Sötvatten","Flodmynningar"
"SE628877-132040",,"WA19239539","Sötvatten","Flodmynningar"
"SE633316-146198",,"WA36456490","Sötvatten","Vattendrag trendstationer"
"SE652370-156442",,"WA54398072","Sötvatten","Flodmynningar"
"SE678609-137505",,,"Sötvatten","Vattendrag trendstationer"
"SE721000-174904",,"WA96430884","Sötvatten","Vattendrag trendstationer"
"SE633070-131710",,,"Sötvatten","Vattendrag trendstationer"
"SE726410-175525",,"WA11954777","Sötvatten","Flodmynningar"
"SE713121-174351",,"WA37813560","Sötvatten","Flodmynningar"
"SE713121-174351",,"WA37813560","Sötvatten","Vattendrag trendstationer"
"SE711900-175034",,"WA51114691","Sötvatten","Flodmynningar"
"SE654845-126685",,"WA87368980","Sötvatten","Vattendrag trendstationer"
"SE733833-177925",,"WA30315661","Sötvatten","Flodmynningar"
"SE621205-131122",,"WA86069323","Sötvatten","Flodmynningar"
"SE622467-133458",,"WA60391049","Sötvatten","Flodmynningar"
"SE639020-148650",,"WA45704566","Sötvatten","Vattendrag trendstationer"
"SE724097-151160",,"WA12679259","Sötvatten","Vattendrag trendstationer"
"SE728796-160764",,"WA32567448","Sötvatten","Vattendrag trendstationer"
"SE719095-173622",,"WA99394482","Sötvatten","Flodmynningar"
"SE614886-136002",,"WA65070323","Sötvatten","Flodmynningar"
"SE621495-134055",,"WA32370039","Sötvatten","Vattendrag trendstationer"
"SE626827-132577",,"WA46036436","Sötvatten","Flodmynningar"
"SE658065-162841",,"WA53873576","Sötvatten","Flodmynningar"
"SE690530-152405",,"WA15165797","Sötvatten","Vattendrag trendstationer"
