"Mätvariabel","Mätvariabel (Orig)","Mätvariabelgrupp","Enhet (sjöar och vattendrag)","Beskrivning (sjöar och vattendrag)"
"Klorofyll a","Kfyll (µg/l)","Växtplankton","μg/l","Sommarvärde"
"Sulfat","SO4_IC (mg/l S)","Näringsämnen","mekv/l","Årsmedelvärde"
"Totalfosfor","Tot-P (µg/l P)","Näringsämnen","µg/l","Årsmedelvärde"
"Totalkväve","Tot-N_TNb (µg/l N)","Näringsämnen","µg/l","Årsmedelvärde"
"Lättillgänglig fosfor","PO4-P (µg/l P)","Näringsämnen","µg/l","Årsmedelvärde"
"Oorganiskt kväve","NO2+NO3-N (µg/l N) + NH4-N (µg/l N)","Näringsämnen","µg/l","Årsmedelvärde"
"Totalt organiskt kol","TOC (mg/l C)","Näringsämnen","mg/l","Årsmedelvärde"
"Kisel","Si (mg/l)","Näringsämnen","µg/l","Årsmedelvärde"
"Temperatur - helår","Vattentemperatur (°C)","Vattnets egenskaper","°C","Årsmedelvärde"
"Temperatur – vår","Vattentemperatur (°C)","Vattnets egenskaper","°C","Maj-värde"
"Alkalinitet","Alk/Acid (mekv/l)","Vattnets egenskaper","mekv/l","Årsmedelvärde"
"Brunhet","Abs_F 420 (/5cm)","Vattnets egenskaper","enhetslös","Årsmedelvärde"
"pH","pH","Vattnets egenskaper","enhetslös","Årsmedelvärde"
"Konduktivitet","Kond_25 (mS/m)","Vattnets egenskaper","mS/m","Årsmedelvärde"
